                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1009,                0.53767,                 0.8674,                0.96956,                0.91055,                0.96547,                0.68265,                 1.0705,                0.56626,                0.87259,               0.006535,               0.006535,               0.006535
                     37,                 1.0857,                0.54404,                0.86892,                0.89398,                0.90699,                0.94134,                0.64544,                0.98922,                0.58983,                  0.871,               0.006436,               0.006436,               0.006436
                     38,                 1.0902,                0.54945,                0.85691,                0.91192,                0.95583,                0.94789,                0.68963,                0.97409,                0.54951,                0.86121,               0.006337,               0.006337,               0.006337
                     39,                 1.1102,                0.51161,                0.85378,                0.93204,                0.93652,                0.96196,                0.64353,                 1.0349,                0.57212,                0.87364,               0.006238,               0.006238,               0.006238
                     40,                 1.0344,                0.52651,                0.85745,                0.94264,                 0.9238,                0.92986,                0.57423,                 1.0764,                0.52525,                0.88172,               0.006139,               0.006139,               0.006139
                     41,                 1.0208,                0.53452,                0.85257,                0.96966,                0.98485,                0.98742,                0.67783,                0.95981,                0.48769,                0.86014,                0.00604,                0.00604,                0.00604
                     42,                 1.0044,                0.50046,                0.86477,                0.93996,                0.95276,                0.95815,                0.65029,                0.98991,                0.47235,                 0.8583,               0.005941,               0.005941,               0.005941
                     43,                 1.0355,                0.52769,                0.84459,                0.95816,                0.90783,                 0.9689,                0.67291,                0.99505,                0.51533,                0.87045,               0.005842,               0.005842,               0.005842
                     44,                 1.0866,                0.52942,                 0.8588,                 0.9643,                0.96574,                0.98762,                0.69461,                 1.0174,                0.50838,                0.87331,               0.005743,               0.005743,               0.005743
                     45,                 1.0152,                 0.5023,                0.84963,                0.92348,                0.97899,                0.96136,                0.70829,                 0.9479,                0.48635,                0.86007,               0.005644,               0.005644,               0.005644
                     46,                 1.0061,                0.50672,                0.83691,                0.96161,                0.99734,                0.98309,                0.69719,                 1.0191,                0.53029,                0.86748,               0.005545,               0.005545,               0.005545
                     47,                0.96831,                0.49828,                0.85979,                 0.9715,                0.98485,                0.98309,                0.65694,                 1.0849,                0.52275,                 0.8722,               0.005446,               0.005446,               0.005446
                     48,                0.96748,                0.48557,                0.83651,                0.95209,                 0.9564,                0.96918,                0.70023,                0.98928,                0.48827,                  0.855,               0.005347,               0.005347,               0.005347
                     49,                 1.0936,                0.52295,                0.86032,                0.95798,                0.90808,                0.95095,                0.70399,                 0.9767,                0.49369,                0.86002,               0.005248,               0.005248,               0.005248
                     50,                0.97032,                 0.5075,                0.84977,                0.93559,                0.93132,                0.96381,                0.64652,                 1.0402,                0.50486,                0.87255,               0.005149,               0.005149,               0.005149
                     51,                 1.0051,                0.50323,                0.84375,                0.93854,                0.92666,                0.95638,                0.68648,                0.94107,                0.53737,                0.85445,                0.00505,                0.00505,                0.00505
