                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1677,                 7.1124,                 1.0759,                0.00038,                0.10795,                0.00058,                0.00049,                 1.6292,                 5.2216,                0.86834,                 0.0856,                 0.0016,                 0.0016
                      1,                 1.6136,                   4.91,                0.92493,                0.00184,                0.45554,                0.00157,                0.00082,                 1.2378,                 4.7229,                0.81655,               0.070267,              0.0032673,              0.0032673
                      2,                 1.6462,                 3.6097,                0.92146,                 0.0033,                0.83941,                0.27607,                0.16834,                 1.4693,                 4.1052,                0.87017,               0.054901,               0.004901,               0.004901
                      3,                 1.6175,                 2.9337,                0.92893,                0.00353,                0.85935,                0.46423,                0.20895,                 1.4265,                 3.9262,                0.88962,               0.039501,               0.006501,               0.006501
                      4,                 1.7411,                 2.7257,                0.96168,                      1,                0.15443,                0.54407,                0.30006,                 1.4412,                 3.3646,                0.91103,               0.024067,              0.0080674,              0.0080674
                      5,                  1.691,                 2.2578,                 0.9592,                0.93812,                0.74936,                0.82598,                0.42244,                 1.6014,                 2.1364,                0.94938,               0.009505,               0.009505,               0.009505
                      6,                 1.8613,                 2.2649,                0.99545,                 0.9726,                0.50253,                0.82183,                0.44826,                 1.5918,                 2.3697,                0.95035,               0.009505,               0.009505,               0.009505
                      7,                 1.5613,                 2.0513,                0.95791,                0.78414,                0.72411,                0.81593,                  0.459,                 1.5756,                 1.6256,                  1.012,               0.009406,               0.009406,               0.009406
                      8,                 1.7168,                 1.9507,                0.95793,                0.79471,                0.80106,                0.82778,                0.45343,                 1.4387,                 1.3709,                0.95303,               0.009307,               0.009307,               0.009307
                      9,                 1.6272,                 1.7742,                0.95004,                0.85592,                0.82093,                 0.8888,                 0.4356,                 1.5455,                 1.2473,                0.93687,               0.009208,               0.009208,               0.009208
                     10,                 1.4433,                  1.555,                 0.9262,                 0.9797,                0.88229,                0.90943,                 0.5175,                 1.4519,                 1.3564,                0.95537,               0.009109,               0.009109,               0.009109
                     11,                 1.5205,                 1.4764,                0.95066,                0.83618,                0.87121,                0.90489,                0.50696,                 1.4408,                 1.1906,                0.92931,                0.00901,                0.00901,                0.00901
                     12,                  1.416,                 1.4665,                0.92725,                0.96194,                0.89629,                0.94486,                0.54194,                 1.3723,                  0.933,                0.94181,               0.008911,               0.008911,               0.008911
                     13,                 1.4597,                 1.3221,                0.92529,                0.89464,                0.91698,                0.92291,                0.42929,                 1.6357,                 1.4731,                0.99452,               0.008812,               0.008812,               0.008812
                     14,                 1.4517,                 1.2446,                0.91389,                0.90909,                0.89491,                0.94981,                0.52922,                 1.3804,                 1.0018,                0.95322,               0.008713,               0.008713,               0.008713
                     15,                 1.4719,                 1.2018,                0.93764,                0.98827,                0.85785,                0.93629,                0.57099,                  1.336,                0.93238,                0.92696,               0.008614,               0.008614,               0.008614
                     16,                 1.4386,                 1.1835,                 0.9394,                0.92963,                0.89671,                0.93026,                0.55828,                 1.2491,                 1.0023,                0.90099,               0.008515,               0.008515,               0.008515
                     17,                  1.366,                 1.1986,                0.92211,                0.95716,                0.87054,                0.94149,                0.56946,                 1.2181,                0.78693,                0.87911,               0.008416,               0.008416,               0.008416
                     18,                 1.2873,                 1.0518,                0.87751,                0.92864,                0.90722,                0.96004,                0.60826,                 1.1538,                0.82377,                0.87632,               0.008317,               0.008317,               0.008317
                     19,                 1.3747,                 1.1159,                0.90686,                0.86978,                 0.8777,                0.93213,                0.61635,                 1.1289,                0.83387,                0.86256,               0.008218,               0.008218,               0.008218
                     20,                 1.3225,                0.98475,                0.90477,                0.90855,                0.86174,                0.90302,                  0.546,                 1.1659,                0.77935,                0.86669,               0.008119,               0.008119,               0.008119
                     21,                 1.3055,                0.93826,                0.90473,                0.93059,                0.90583,                 0.9348,                 0.5316,                 1.2166,                0.79621,                0.89035,                0.00802,                0.00802,                0.00802
                     22,                 1.2644,                0.91684,                 0.8954,                0.95994,                0.86174,                0.94769,                0.49802,                   1.34,                 0.7777,                0.90114,               0.007921,               0.007921,               0.007921
