                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1919,                 8.0824,                 1.1233,                0.55034,                0.73942,                0.60937,                0.25488,                 1.7859,                 2.3652,                0.97075,                 0.0856,                 0.0016,                 0.0016
                      1,                 1.4298,                 1.8415,                0.91435,                0.91783,                0.80433,                0.86694,                0.62009,                0.99026,                0.91968,                0.83442,               0.070267,              0.0032673,              0.0032673
                      2,                 1.3371,                 1.1323,                0.88713,                0.93569,                0.75645,                0.86939,                 0.5202,                 1.1679,                 0.9499,                0.85427,               0.054901,               0.004901,               0.004901
                      3,                 1.3259,                 1.1954,                0.91899,                0.69488,                0.64018,                0.74754,                0.38876,                 1.5474,                 1.0989,                0.91313,               0.039501,               0.006501,               0.006501
                      4,                 1.4883,                 1.3225,                0.90645,                0.88015,                0.82426,                0.85795,                0.48066,                 1.2679,                0.92834,                 0.8669,               0.024067,              0.0080674,              0.0080674
                      5,                 1.4834,                 1.2367,                0.92181,                0.71635,                 0.6889,                0.77698,                0.38453,                 1.3045,                 1.7333,                 0.8926,               0.009505,               0.009505,               0.009505
                      6,                 1.5398,                 1.1397,                0.92451,                0.87191,                0.86907,                0.87746,                0.54601,                 1.3116,                 1.2522,                0.98245,               0.009505,               0.009505,               0.009505
                      7,                 1.5116,                0.96095,                0.94852,                 0.8596,                0.84383,                0.91283,                0.49747,                 1.4004,                 1.1255,                0.97355,               0.009406,               0.009406,               0.009406
                      8,                 1.4606,                0.85739,                0.93622,                0.91916,                 0.8442,                0.88291,                0.43445,                 1.4973,                 1.0823,                0.97658,               0.009307,               0.009307,               0.009307
                      9,                 1.4993,                0.85493,                 0.9357,                0.89236,                0.85391,                0.87454,                0.51677,                 1.2934,                 1.0817,                 0.9262,               0.009208,               0.009208,               0.009208
                     10,                  1.355,                  0.871,                0.90541,                0.90066,                0.82426,                0.88426,                0.49638,                 1.4814,                  1.162,                0.97761,               0.009109,               0.009109,               0.009109
                     11,                 1.3962,                0.91399,                0.93783,                0.96073,                0.87436,                0.91552,                0.55432,                 1.2694,                0.78337,                0.95562,                0.00901,                0.00901,                0.00901
                     12,                 1.3963,                0.80022,                0.94062,                0.94972,                 0.8401,                 0.9098,                0.48975,                 1.4284,                0.80171,                0.99946,               0.008911,               0.008911,               0.008911
                     13,                 1.4423,                 0.7799,                0.93228,                0.96266,                0.79926,                0.83318,                0.38736,                 1.7072,                 1.0327,                 1.0278,               0.008812,               0.008812,               0.008812
                     14,                 1.3863,                0.74062,                0.90106,                0.80649,                0.75389,                 0.8469,                0.45999,                 1.3155,                0.89348,                0.93558,               0.008713,               0.008713,               0.008713
                     15,                 1.4923,                0.76878,                0.94008,                 0.9616,                0.84988,                0.91658,                0.46856,                 1.3845,                0.87734,                 0.9784,               0.008614,               0.008614,               0.008614
                     16,                 1.3644,                0.71999,                0.94022,                0.98774,                0.87827,                0.93691,                0.56592,                 1.2284,                0.68512,                 0.8985,               0.008515,               0.008515,               0.008515
                     17,                 1.2559,                0.68016,                0.90943,                0.94173,                0.87883,                0.94616,                0.59689,                 1.0513,                0.69823,                  0.876,               0.008416,               0.008416,               0.008416
                     18,                  1.188,                0.68749,                0.87533,                0.93575,                0.87735,                0.93314,                0.56154,                 1.0777,                0.77149,                0.86909,               0.008317,               0.008317,               0.008317
                     19,                 1.3223,                  0.704,                0.89477,                0.91649,                0.83359,                0.91648,                 0.5662,                 1.0793,                0.69973,                0.87017,               0.008218,               0.008218,               0.008218
                     20,                  1.359,                 0.6443,                0.89663,                0.97996,                0.90534,                0.97057,                 0.5938,                 1.1867,                0.62491,                0.89134,               0.008119,               0.008119,               0.008119
