                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2214,                0.61091,                0.89852,                 0.8721,                0.93697,                 0.9424,                0.55909,                 1.0288,                0.61264,                 0.7818,               0.006535,               0.006535,               0.006535
                     37,                 1.1227,                0.56921,                0.86398,                0.92627,                 0.9561,                0.96508,                 0.6097,                0.90924,                0.61448,                0.75559,               0.006436,               0.006436,               0.006436
                     38,                 1.1699,                0.58954,                0.89397,                0.91256,                0.93939,                0.96078,                0.65677,                0.84307,                0.53895,                0.75603,               0.006337,               0.006337,               0.006337
                     39,                 1.1377,                 0.5691,                0.85223,                0.96647,                0.88304,                0.95744,                0.66693,                0.97543,                0.54519,                0.80345,               0.006238,               0.006238,               0.006238
                     40,                 1.1503,                0.56834,                0.84436,                0.99839,                0.90214,                0.95901,                0.65615,                 1.0056,                0.47527,                0.85335,               0.006139,               0.006139,               0.006139
                     41,                 1.0911,                0.54349,                 0.8645,                0.98148,                0.99097,                  0.995,                0.63717,                 1.0173,                0.47685,                0.81576,                0.00604,                0.00604,                0.00604
                     42,                 1.1103,                0.56433,                0.84482,                0.98554,                 0.9014,                 0.9637,                0.61242,                 1.0224,                0.43977,                0.80154,               0.005941,               0.005941,               0.005941
                     43,                 1.1383,                 0.5869,                0.86087,                0.97772,                0.99499,                  0.995,                0.67213,                 0.8743,                0.43509,                0.77066,               0.005842,               0.005842,               0.005842
                     44,                 1.1526,                0.56577,                0.84906,                0.99269,                0.94879,                  0.995,                0.63997,                0.93988,                0.43815,                0.76098,               0.005743,               0.005743,               0.005743
                     45,                 1.1109,                 0.5466,                0.84626,                0.98561,                0.98743,                  0.995,                0.60619,                0.96802,                0.43742,                0.77063,               0.005644,               0.005644,               0.005644
                     46,                 1.1031,                0.54926,                0.84517,                0.96364,                0.95165,                0.96743,                0.64439,                0.98153,                0.44989,                0.77088,               0.005545,               0.005545,               0.005545
                     47,                 1.0997,                0.54211,                0.85136,                0.93041,                0.93635,                0.95823,                0.61686,                 0.9536,                0.43074,                0.75839,               0.005446,               0.005446,               0.005446
                     48,                 1.1018,                0.52722,                0.84512,                0.96387,                0.95333,                0.96272,                0.61333,                0.91277,                0.44606,                0.75641,               0.005347,               0.005347,               0.005347
                     49,                 1.0278,                0.51888,                0.83133,                0.93707,                0.93939,                 0.9581,                0.64616,                0.87869,                0.47497,                0.75288,               0.005248,               0.005248,               0.005248
                     50,                 1.0334,                0.53167,                0.84065,                0.96406,                0.95832,                0.96313,                0.66252,                0.81769,                0.55017,                 0.7478,               0.005149,               0.005149,               0.005149
                     51,                 1.0452,                 0.5303,                0.85011,                0.99517,                0.90415,                0.96717,                0.58519,                0.75386,                0.57734,                0.72929,                0.00505,                0.00505,                0.00505
                     52,                0.96061,                0.49626,                0.84698,                0.99423,                0.93759,                  0.995,                0.64593,                0.71992,                0.57493,                0.72907,               0.004951,               0.004951,               0.004951
                     53,                 0.9585,                0.49519,                0.82958,                0.97385,                0.97554,                  0.995,                0.65535,                0.81961,                0.61962,                 0.7525,               0.004852,               0.004852,               0.004852
                     54,                  1.026,                0.50176,                0.84116,                0.96882,                0.95283,                0.99038,                0.63557,                0.79156,                0.57027,                0.74268,               0.004753,               0.004753,               0.004753
                     55,                 1.1131,                0.55388,                0.86521,                0.95717,                0.97983,                 0.9925,                0.64579,                0.86476,                0.52708,                0.74166,               0.004654,               0.004654,               0.004654
                     56,                0.98477,                0.50936,                0.84647,                0.96743,                0.93939,                0.98788,                0.64294,                0.85545,                0.53326,                0.74345,               0.004555,               0.004555,               0.004555
                     57,                0.99388,                0.48175,                0.84156,                0.91205,                0.91634,                0.93858,                0.65986,                0.86499,                0.49022,                0.74945,               0.004456,               0.004456,               0.004456
                     58,                0.98255,                0.49672,                 0.8376,                0.94029,                 0.9292,                0.94015,                0.67322,                0.85194,                0.46001,                 0.7485,               0.004357,               0.004357,               0.004357
                     59,                0.94627,                0.49005,                0.83661,                0.95774,                0.89606,                0.94029,                0.68959,                0.92882,                0.51428,                 0.7924,               0.004258,               0.004258,               0.004258
                     60,                0.92556,                0.47354,                0.84549,                0.95496,                0.96861,                0.96455,                0.66945,                0.79188,                0.48361,                0.73936,               0.004159,               0.004159,               0.004159
                     61,                0.95807,                0.47793,                0.83686,                0.93008,                 0.9697,                0.96686,                0.65078,                0.80317,                0.53226,                 0.7285,                0.00406,                0.00406,                0.00406
                     62,                 0.9183,                0.46196,                0.84708,                0.98937,                0.94935,                0.97111,                0.66687,                0.69029,                0.36174,                0.72032,               0.003961,               0.003961,               0.003961
                     63,                0.95469,                0.52586,                0.84545,                0.99434,                 0.9486,                 0.9925,                0.68429,                0.68763,                0.36549,                0.71965,               0.003862,               0.003862,               0.003862
                     64,                0.91167,                0.46535,                0.83824,                0.94074,                0.93939,                0.94575,                0.66953,                0.70313,                 0.3866,                0.71481,               0.003763,               0.003763,               0.003763
                     65,                0.92663,                0.47307,                0.83914,                0.95355,                0.93939,                0.94359,                0.68145,                0.81402,                 0.4332,                0.72821,               0.003664,               0.003664,               0.003664
                     66,                0.92704,                0.46648,                 0.8306,                0.94333,                0.92753,                0.94403,                0.68535,                0.83742,                0.43072,                0.73049,               0.003565,               0.003565,               0.003565
                     67,                0.89337,                0.45265,                0.82669,                0.94218,                0.89707,                0.94006,                0.68522,                0.81805,                0.43289,                0.73945,               0.003466,               0.003466,               0.003466
                     68,                0.97352,                  0.474,                0.83164,                0.94095,                0.88566,                0.94802,                0.68831,                0.72801,                0.41484,                0.73009,               0.003367,               0.003367,               0.003367
                     69,                0.91896,                0.45837,                0.81334,                0.94371,                0.86919,                0.94804,                0.68983,                0.73358,                 0.4063,                0.72637,               0.003268,               0.003268,               0.003268
                     70,                0.93846,                0.46512,                0.82839,                 0.8786,                0.93939,                0.94831,                0.65801,                0.81413,                0.41729,                 0.7294,               0.003169,               0.003169,               0.003169
                     71,                0.94773,                0.46079,                0.84577,                0.95796,                0.92503,                0.97075,                0.64754,                0.77851,                0.40497,                0.73143,                0.00307,                0.00307,                0.00307
